gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
Mmab,360.7165359150801,0.001726067237433235,0.02436798225079381,0.8637774100989091,0.943378478102987
A030005L19Rik,23.529857373747788,0.0017249789005059424,0.026717349708648887,0.30641755240756574,0.6440915204781789
Slc25a47,38.80845891022924,0.0017246910717895008,0.02641038564073228,0.688660821099141,0.8559221040005133
Asb2,181.29494654105866,0.0017239818327679157,0.026745238803757423,0.14566536061420995,0.5880107207805829
Nr2c2ap,400.4611902217319,0.0017231482923054625,0.024829289558010576,0.8532606626034096,0.9379477264727365
Samd13,18.35479656363438,0.00171273067724328,0.026550431664014395,0.6120746963874655,0.8154971594584964
Zwint,663.3025282749534,0.0017105058012990013,0.02539313647552081,0.8316122660944032,0.9252540856464031
Mpp7,988.1990530799509,0.0017085098914958368,0.026322545726603093,0.7173996429945881,0.8713938036493587
Elob,1515.1419787356328,0.0017056811202104253,0.026312210819766403,0.7191133816010373,0.8725185069261466
Duxbl1,79.18831182717614,0.0017046372983005747,0.026195303869562127,0.751288602839073,0.8881460692794622
Lce1a2,10037.287694377843,0.0017030374984483272,0.026727550684985054,0.2545275542367239,0.6166974857347897
Rapgef6,760.4366571173061,0.0017017933153565057,0.025514666169011768,0.8252071776392725,0.9226053321043809
Tmem229b,1413.511056593267,0.0017007324666088535,0.026747187219816566,0.11925094403154825,0.5880107207805829
Zfp383,100.86986585554779,0.001698928542140867,0.026426083716164304,0.6886576589487323,0.8559221040005133
Tmem35b,35.66660476954945,0.0016975417521328366,0.026382609088674354,0.702281439458928,0.8639699865624679
Egln1,1392.9733233211973,0.001694811043841213,0.024454091603041937,0.8772637806631147,0.9503560945952985
Zfp748,116.51601689047482,0.0016938144879246645,0.026625759334298046,0.5355669959445282,0.7734472488912232
Tlcd4,779.9124828172457,0.001693582315947409,0.026639614751410152,0.5155006122135372,0.7620715218763062
Lce1m,17507.859898842526,0.0016926360543233273,0.026728976194796365,0.2437411936275863,0.6124201842888404
Arrdc2,673.7814762333178,0.0016900121313558857,0.026618454205672545,0.5467213722202683,0.7810396901688003
Dsg1c,361.3136673890599,0.0016874957073284278,0.026708466237024005,0.34135980047123304,0.6610709112961929
Gas8,260.1314358165891,0.001687065241169199,0.025581391642892776,0.8102922093978071,0.915728989210498
Rbm28,793.8540890853618,0.0016869463205021044,0.024748017477109766,0.8587328104446093,0.9398727514923841
Cacnb1,113.01334455337,0.0016860810071430744,0.02623434346204002,0.7548696102180806,0.8899338553596746
Slc4a9,54.7624410498787,0.0016837215194492221,0.026485041263104345,0.6596315058113638,0.841473168189186
Ccdc127,572.6982497326259,0.00167792192604214,0.023709515761076973,0.8785670186567069,0.9507568046274357
Wwox,160.8783557726728,0.0016738917215381346,0.02590029879058622,0.7975328143333946,0.9098782070982174
Gng13,38.112667947355114,0.001670353073042884,0.02670838621331263,0.33853174518589274,0.6598028433548944
Pcdhb19,22.85571772068248,0.0016678802754056161,0.026572738550573856,0.5966063412616655,0.8064412576934283
Ccdc17,201.39650098231573,0.001667272403059211,0.026200391019925735,0.7550114650800823,0.8900074309822293
Zfp141,195.78256479474814,0.0016640359665418061,0.02555212095310425,0.8264400113729146,0.9229658142081973
Osbp2,15.394836475850072,0.001663788515923836,0.026585879354477655,0.586590640540648,0.801198816346106
Tecpr2,460.0347536120428,0.001662379810639489,0.025582402834154545,0.8249415690102975,0.9226053321043809
Copb1,2171.465883504118,0.0016604306875637658,0.023514540733045566,0.9857212757642347,0.9936324923577422
Arid3b,23.160632576695445,0.0016589714218842632,0.026566864349591775,0.6057253345044487,0.8112786821610621
Fam227a,46.08065391438896,0.0016582429044065242,0.02661792330297393,0.5501032613132799,0.7825674956305101
Zfp335,840.9466251755158,0.0016569760704306363,0.025016508766975695,0.8504792868728275,0.9364957657241194
Nme3,145.16150583218342,0.0016526886476125717,0.02594654991827117,0.7949850819724228,0.908565033177301
Zfp874a,83.51168053820416,0.0016486351495951413,0.02648973683242694,0.6618363391070365,0.8427760349459764
Hemk1,113.36666852752144,0.001642839502095805,0.02607259413214815,0.7802337415531148,0.8997243420105628
Gatc,375.5997811834699,0.0016405752446191685,0.02458908800945076,0.9284415440237404,0.9723991999410273
Zfp36,10540.063540959309,0.001639335540493203,0.026712579011801813,0.3023785321468113,0.6421261385993728
Zfp729b,172.72270015130277,0.0016390560080433007,0.026463081567982896,0.6774679184315392,0.8503457913902757
Engase,308.71797220277193,0.001634833172815924,0.025944695714003478,0.7968099220698506,0.9095301228639465
Pcdhga6,53.054211472061766,0.0016321962442601117,0.0265679675065622,0.6083697752487564,0.8128900630625715
Gpr21,18.254442605254095,0.0016314230222927585,0.02664962328787055,0.5019317000977308,0.7542461101100443
Prkn,47.00524079086966,0.0016285435782474667,0.026489824388032206,0.6612423442402664,0.8424735645091553
Pam16,109.48768620938769,0.0016282032897793769,0.02660800717568141,0.5670297790794884,0.7912179359209033
Ncdn,611.4333232033457,0.0016257079263628656,0.024107336013151084,0.8785507428676342,0.9507568046274357
Ankrd9,138.93406760938763,0.0016229881683481405,0.026274948735336038,0.7397774258899283,0.8824595254960229
Ccdc113,96.01665338666086,0.0016219259797185545,0.02656245503634287,0.6147700562039948,0.8175683434923338
Gadd45a,361.20150889598506,0.001618029694138048,0.0260285701575224,0.7895822234266924,0.9054480636302139
Tmem175,358.7509895578375,0.0016179901615765823,0.025697918127884183,0.8216809660343718,0.9213565770084448
Pcgf6,286.9572330406609,0.0016155707657122972,0.02537327052511928,0.8754474291547863,0.9494859814290717
Alg14,231.94895454576013,0.0016130038780590304,0.026336694860171466,0.7292096376952031,0.8783825406407613
Lce6a,1831.7266053876306,0.0016082488916134101,0.02673456708893439,0.1737780339629311,0.5908028284982928
Fgf18,78.02539567530414,0.0016077534510563027,0.026526388095927774,0.6448719571035149,0.8345528116748768
BC034090,71.73829505144285,0.0016075154577983087,0.02653338379977827,0.6397584240486024,0.831484539028228
Tctn2,115.08834270424485,0.001606452245929539,0.02585706497356495,0.8088843455637192,0.9154110099999483
